rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
63	PF0063	0.5039	anger / farming / sharecropping / tenancy	15	1,2,3,4,5,6,7,9,10,11	ء ن س ج م ع خ ب ر ر ب ب ش ه د ص ب ح ص د ر ع د و ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	خ ب ر:B003@11:إصلاح الأرض بالمخابرة | ق ب ر:B004@9:طرف الأنف في الغضب | و ر ي:B008@2:الورى: الخلق على ظهر الأرض	ء ن س:B006@6:ابن الإنس للنفس والصفوة | ج م ع:B004@5:موضع أو يوم أو نداء يجمع الناس | ج م ع:B005@5:قبضة الكف إذا ضمت الأصابع | ص ب ح:B007@3:الصُّبْحة نوما | ع د و:B010@1:العَدْواء في صلابة المكان واضطرابه | ك ن د:B003@6:الأرض التي لا تنبت | ن ق ع:B007@4:نقاع الأرض القيعان السهلة | ن ق ع:B009@4:نقعه بالشتم القبيح | و س ط:B002@5:موضع الوسط بين الأطراف	P1134	P1134[و ر ي:B008→خ ب ر:B003 ; ق ب ر:B004→خ ب ر:B003 ; ج م ع:B005→ق ب ر:B004 ; ك ن د:B003→خ ب ر:B003 ; ن ق ع:B007→ك ن د:B003] | P0393[و س ط:B002→ج م ع:B004 ; و س ط:B002→ق ب ر:B004 ; ق ب ر:B004→خ ب ر:B003 ; و ر ي:B008→خ ب ر:B003 ; ج م ع:B004→ش ه د:B001 ; ن ق ع:B009→ق ب ر:B004 ; و ر ي:B008→ص ب ح:B007 ; ء ن س:B006→ق ب ر:B004 ; ع د و:B005→ء ن س:B006] | P0633[ع د و:B010→ك ن د:B003 ; ك ن د:B003→خ ب ر:B003 ; و ر ي:B008→خ ب ر:B003 ; ق ب ر:B004→خ ب ر:B003 ; ن ق ع:B009→ق ب ر:B004 ; ج م ع:B005→ق ب ر:B004 ; و ر ي:B008→ص ب ح:B007 ; ق د ح:B003→ن ق ع:B009] | P1296[ج م ع:B005→ق ب ر:B004 ; ق ب ر:B004→خ ب ر:B003 ; و ر ي:B008→خ ب ر:B003 ; ش ه د:B006→خ ب ر:B003 ; ر ب ب:B009→ش ه د:B006]
64	PF0064	0.5034	knowledge / report / evidence / testimony	52	1,2,3,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	خ ب ر:B001@11:العلم بالخبر وباطن الأمر | ش د د:B003@8:شد الحملة والعدو | ش ه د:B002@7:البيان بعلم | ع ل م:B001@9:انكشاف الشيء للعارف | و ر ي:B005@2:ستر الشيء وجعله وراء الظهور	ء ن س:B002@6:إيناس الشيء برؤية أو إحساس أو سماع | ء ن س:B006@6:ابن الإنس للنفس والصفوة | ح ص ل:B001@10:جمع الشيء حتى يظهر حاصله | ر ب ب:B003@6,11:علم رباني | ص ب ح:B004@3:يوم الصباح | ض ب ح:B001@1:صوت الضباح | ض ب ح:B002@1:عدو ممدود الضبعين | ع د و:B002@1:العَدْو والحَضْر | ع د و:B003@1:العَدُوّ والعداوة	P1293	P1293[ع د و:B003→ش د د:B003 ; ش ه د:B002→ش د د:B003 ; ش ه د:B002→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ء ن س:B003→ع ل م:B001] | P0063[و ر ي:B005→ح ص ل:B001 ; ج م ع:B001→ح ص ل:B001 ; و ر ي:B005→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ش ه د:B002→خ ب ر:B001 ; ر ب ب:B003→ع ل م:B001 ; ش ه د:B002→ش د د:B003 ; ض ب ح:B001→ش د د:B003 ; ض ب ح:B001→ص ب ح:B004] | P0395[ع د و:B002→ض ب ح:B002 ; ع د و:B002→ش د د:B003 ; ش ه د:B002→ش د د:B003 ; ش ه د:B002→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ء ن س:B006→ع ل م:B001 ; ء ن س:B006→ق ب ر:B004 ; ن ق ع:B009→ق ب ر:B004 ; ق د ح:B003→ن ق ع:B009] | P0418[ع د و:B007→ش د د:B003 ; ش ه د:B002→ش د د:B003 ; ش ه د:B002→خ ب ر:B001 ; ع ل م:B001→خ ب ر:B001 ; ع د و:B007→غ ي ر:B002 ; و ر ي:B005→خ ب ر:B001 ; ء ن س:B002→ع ل م:B001 ; و ر ي:B005→ح ص ل:B001 ; ج م ع:B009→ح ص ل:B001]
65	PF0065	0.5034	fire / spark / ignition / energy	13	1,2,3,5,6,7,8,9,10,11	ب ع ث ر ج م ع ح ب ب ح ص ل خ ي ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع د و غ ي ر ق د ح ك ن د و ر ي و س ط	ر ب ب:B016@6,11:رُبَى حاجة وعقدة ونعمة | ش د د:B001@8:شد العقد والوثاق | ض ب ح:B003@1:إحراق أعالي العود | ق د ح:B001@2:إيراء النار بالقدح | و ر ي:B002@2:نار كامنة تخرج من الزند	ح ب ب:B003@8:صيغة المدح وغاية الرغبة | ر ب ب:B011@6,11:ربابة عهد وميثاق	P2008	P2008[و ر ي:B002→ق د ح:B001 ; ض ب ح:B003→ق د ح:B001 ; ق د ح:B001→ش د د:B001 ; ر ب ب:B001→ش د د:B001] | P0784[و ر ي:B002→ق د ح:B001 ; ق د ح:B001→ش د د:B001 ; ر ب ب:B016→ش د د:B001 ; ش ه د:B007→ش د د:B001 ; ش ه د:B007→ح ص ل:B005 ; ج م ع:B011→ح ص ل:B005 ; ض ب ح:B003→ق د ح:B001] | P0819[و ر ي:B002→ق د ح:B001 ; ق د ح:B001→ش د د:B001 ; ك ن د:B001→ش د د:B001 ; و س ط:B006→ك ن د:B001 ; ر ب ب:B016→ش د د:B001 ; و س ط:B006→ص د ر:B006 ; ض ب ح:B003→ق د ح:B001] | P0854[و ر ي:B002→ق د ح:B001 ; ق د ح:B001→ش د د:B001 ; ر ب ب:B016→ش د د:B001 ; ش د د:B001→ب ع ث ر:B002 ; ج م ع:B013→ب ع ث ر:B002 ; ض ب ح:B003→ق د ح:B001 ; غ ي ر:B003→ب ع ث ر:B002]
66	PF0066	0.5029	surface / origin / grammar / change	26	1,2,3,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش د د ش ه د ص ب ح ص د ر ع د و ع ل م غ ي ر ق ب ر ق د ح ن ق ع و ر ي	ث و ر:B007@4:ثور الماء: طحلب يعلو السطح | ر ب ب:B013@6,11:ماء رَبَب كثير | ص ب ح:B010@3:أصبح بمعنى صار | ص د ر:B004@10:الأصل الذي تصدر عنه الأفعال	ج م ع:B001@5:ضم المتفرق حتى يصير شيئا مجموعا | ح ب ب:B008@8:حباب الماء فقاقيعه وطرائقه | ح ص ل:B001@10:جمع الشيء حتى يظهر حاصله | ع ل م:B005@9:ماء كثير مجتمع في عيلم | ق د ح:B006@2:قدح الشرب | ن ق ع:B001@4:استقرار الماء وما ينقع فيه | ن ق ع:B008@4:شراب بأنقع مجرب للموارد	P0589	P0589[ن ق ع:B008→ر ب ب:B013 ; ر ب ب:B013→ع ل م:B005 ; ث و ر:B007→ر ب ب:B013 ; ث و ر:B007→ص د ر:B004 ; ص ب ح:B010→ص د ر:B004 ; ث و ر:B007→ح ب ب:B008 ; ح ص ل:B001→ص د ر:B004 ; ج م ع:B009→ح ص ل:B001] | P0473[ص ب ح:B010→ص د ر:B004 ; ح ص ل:B001→ص د ر:B004 ; ج م ع:B001→ح ص ل:B001 ; ج م ع:B001→ب ع ث ر:B002 ; ق د ح:B003→ب ع ث ر:B002 ; ق د ح:B003→ن ق ع:B009 ; ح ب ب:B004→ب ع ث ر:B002 ; ن ق ع:B009→ق ب ر:B004] | P0663[ء ن س:B005→ش ه د:B005 ; ص ب ح:B010→ش ه د:B005 ; ص ب ح:B010→ص د ر:B004 ; ث و ر:B007→ص د ر:B004 ; ث و ر:B007→ر ب ب:B013 ; ر ب ب:B013→ع ل م:B005 ; ث و ر:B007→ح ب ب:B008 ; ن ق ع:B001→ح ب ب:B008] | P1047[ق د ح:B006→ص د ر:B004 ; ث و ر:B007→ص د ر:B004 ; ث و ر:B007→ر ب ب:B013 ; ر ب ب:B013→ع ل م:B005 ; ق د ح:B006→ص ب ح:B003 ; ص ب ح:B003→ح ب ب:B006]
67	PF0067	0.5025	plant / ecology / agriculture / foam	37	1,2,3,4,5,6,7,8,9,10,11	ء ن س ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش ه د ص د ر ض ب ح ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	ح ب ب:B005@8:البعير يلزم مكانه من عجز | خ ب ر:B005@11:اللِّين في النبات والوبر والزبد | ر ب ب:B012@6,11:ربة نبات | ع د و:B011@1:العَدَوِيّة من نبات الصيف	ج م ع:B011@5:نخل دقل اجتمع من النوى لا يعرف اسمه | ح ب ب:B009@8:حبب الأسنان انتظام كالدرر | ح ص ل:B004@10:موضع يجتمع فيه الطعام في جوف الطائر | ح ص ل:B005@10:بلح حصل من النخلة قبل اشتداده | ر ب ب:B014@6,11:رَبْرَب قطيع | ع ل م:B004@9:شق ظاهر في الشفة العليا | ق د ح:B004@2:أكال الشجر والسن | ق د ح:B009@2:رخص أطراف النبت | ن ق ع:B003@4:نقيعة طعام أو نحر أو لبن	P0512	P0512[ن ق ع:B003→خ ب ر:B005 ; ر ب ب:B012→خ ب ر:B005 ; ع د و:B011→ر ب ب:B012 ; ح ب ب:B005→خ ب ر:B005 ; ح ب ب:B005→ع ل م:B004 ; ق د ح:B009→ر ب ب:B012 ; ح ب ب:B005→ح ص ل:B004 ; ج م ع:B011→ر ب ب:B012] | P0269[ن ق ع:B003→ر ب ب:B014 ; ث و ر:B005→ر ب ب:B014 ; ث و ر:B005→ج م ع:B012 ; ن ق ع:B003→خ ب ر:B005 ; ح ب ب:B005→خ ب ر:B005 ; ح ب ب:B005→ع ل م:B004 ; ج م ع:B012→ص د ر:B006 ; و س ط:B006→ص د ر:B006 ; و س ط:B006→ك ن د:B001] | P0695[ق د ح:B004→ح ب ب:B009 ; ع د و:B011→ق د ح:B004 ; ع د و:B011→ر ب ب:B012 ; ج م ع:B011→ر ب ب:B012 ; ج م ع:B011→ح ص ل:B005 ; ر ب ب:B012→ق ب ر:B003 ; ع ل م:B006→ق ب ر:B003 ; ر ب ب:B012→خ ب ر:B005] | P0260[ث و ر:B004→ر ب ب:B014 ; ث و ر:B004→ص د ر:B001 ; ن ق ع:B003→ر ب ب:B014 ; ن ق ع:B003→خ ب ر:B005 ; ح ب ب:B005→خ ب ر:B005 ; ح ب ب:B005→ع ل م:B004 ; ث و ر:B004→ء ن س:B001 ; ج م ع:B007→ء ن س:B001 ; ع د و:B011→خ ب ر:B005]
68	PF0068	0.5024	residue / carnivore / hyena / powder	45	1,2,3,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د ن ق ع و ر ي	ر ب ب:B012@6,11:ربة نبات | ض ب ح:B005@1:الرماد | ع ل م:B007@9:ذكر الضباع يسمى العيلام | ق د ح:B009@2:رخص أطراف النبت	ج م ع:B011@5:نخل دقل اجتمع من النوى لا يعرف اسمه | ح ص ل:B005@10:بلح حصل من النخلة قبل اشتداده | ر ب ب:B011@6,11:ربابة عهد وميثاق | ش د د:B001@8:شد العقد والوثاق | ش د د:B005@8:شد النهار وارتفاعه | ص ب ح:B001@3:الصبح وأول النهار | ع د و:B011@1:العَدَوِيّة من نبات الصيف | ع د و:B012@1:العَنْدَأْوَة في الالتواء والعسر	P0936	P0936[ع د و:B012→ع ل م:B007 ; ض ب ح:B005→ع ل م:B007 ; ض ب ح:B005→ق د ح:B009 ; ق د ح:B009→ر ب ب:B012 ; ض ب ح:B005→ش د د:B005] | P0014[ع د و:B006→ع ل م:B007 ; ض ب ح:B005→ع ل م:B007 ; ع د و:B006→غ ي ر:B002 ; ض ب ح:B005→ق د ح:B009 ; ق د ح:B009→ر ب ب:B012 ; ج م ع:B011→ر ب ب:B012 ; ج م ع:B011→ح ص ل:B005 ; ش ه د:B007→ح ص ل:B005 ; ش ه د:B007→ش د د:B006] | P0074[ع د و:B011→ر ب ب:B012 ; ق د ح:B009→ر ب ب:B012 ; ض ب ح:B005→ق د ح:B009 ; ض ب ح:B005→ش د د:B005 ; ص ب ح:B001→ش د د:B005 ; ر ب ب:B012→خ ب ر:B005 ; ح ب ب:B005→خ ب ر:B005 ; ح ب ب:B005→ع ل م:B004 ; ح ب ب:B005→ح ص ل:B004] | P0088[ع د و:B006→غ ي ر:B002 ; ع د و:B006→ع ل م:B007 ; ض ب ح:B005→ع ل م:B007 ; ع د و:B006→ح ب ب:B004 ; ض ب ح:B005→ق د ح:B009 ; ق د ح:B009→ر ب ب:B012 ; ح ب ب:B004→ب ع ث ر:B002 ; ج م ع:B013→ب ع ث ر:B002 ; ج م ع:B013→ص د ر:B005]
69	PF0069	0.5013	knot / desire / bond / reinforcement	6	1,2,4,6,8,10,11	ث و ر ح ب ب ر ب ب ش د د ص د ر ض ب ح ق د ح ن ق ع	ح ب ب:B003@8:صيغة المدح وغاية الرغبة | ر ب ب:B016@6,11:رُبَى حاجة وعقدة ونعمة | ش د د:B001@8:شد العقد والوثاق | ض ب ح:B003@1:إحراق أعالي العود	ث و ر:B004@4:الثور: ذكر البقر | ر ب ب:B011@6,11:ربابة عهد وميثاق | ص د ر:B001@10:الصدر الجارحة وما يتصل بها | ق د ح:B002@2:نقر الشيء وعيبه | ق د ح:B003@2:طعن في النسب | ق د ح:B005@2:غرف ما في القدر | ن ق ع:B006@4:سم ناقع ثابت أو قاتل | ن ق ع:B009@4:نقعه بالشتم القبيح	P2319	P2319[ض ب ح:B003→ق د ح:B005 ; ض ب ح:B003→ش د د:B001 ; ر ب ب:B016→ش د د:B001 ; ر ب ب:B016→ح ب ب:B003] | P1008[ر ب ب:B016→ح ب ب:B003 ; ر ب ب:B016→ش د د:B001 ; ق د ح:B002→ش د د:B001 ; ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ص د ر:B001 ; ث و ر:B004→ص د ر:B001] | P1706[ق د ح:B003→ن ق ع:B009 ; ق د ح:B003→ش د د:B001 ; ر ب ب:B016→ش د د:B001 ; ر ب ب:B016→ح ب ب:B003] | P1969[ق د ح:B002→ن ق ع:B006 ; ق د ح:B002→ش د د:B001 ; ر ب ب:B016→ش د د:B001 ; ر ب ب:B016→ح ب ب:B003]
70	PF0070	0.501	animal_life/wildlife / ornithology / avian / lark	29	1,2,3,4,5,6,7,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د و ر ي و س ط	ث و ر:B006@4:ثور اسما لمكان أو قوم أو برج | ر ب ب:B011@6,11:ربابة عهد وميثاق | ق ب ر:B003@9:القُبَّرة الطائر | ك ن د:B004@6:اسم كندة	ش د د:B001@8:شد العقد والوثاق | ع د و:B006@1:العَدْوى في انتقال الداء | ع د و:B008@1:العِداء في تعاقب الصيد | ع ل م:B006@9:طائر جارح يسمى العلام | غ ي ر:B002@3:الغَيْر في الدية	P0958	P0958[غ ي ر:B002→ك ن د:B004 ; ع د و:B006→غ ي ر:B002 ; ث و ر:B006→ك ن د:B004 ; ث و ر:B006→ق ب ر:B003 ; ث و ر:B006→ر ب ب:B011 ; ر ب ب:B011→ش د د:B001] | P0156[ع د و:B008→ر ب ب:B011 ; ر ب ب:B011→ش د د:B001 ; ش ه د:B007→ش د د:B001 ; ش ه د:B007→ح ص ل:B005 ; ج م ع:B011→ح ص ل:B005 ; ث و ر:B006→ر ب ب:B011 ; ث و ر:B006→ق ب ر:B003 ; ع ل م:B006→ق ب ر:B003 ; غ ي ر:B004→ع ل م:B006] | P0722[و ر ي:B008→ص ب ح:B007 ; ص ب ح:B007→ع ل م:B006 ; ع ل م:B006→ق ب ر:B003 ; ث و ر:B006→ق ب ر:B003 ; ث و ر:B006→ر ب ب:B007 ; ر ب ب:B007→ح ب ب:B005 ; و ر ي:B008→خ ب ر:B003] | P0178[غ ي ر:B002→ك ن د:B004 ; ع د و:B006→غ ي ر:B002 ; ع د و:B006→ر ب ب:B009 ; ر ب ب:B009→ش ه د:B006 ; ث و ر:B006→ك ن د:B004 ; ث و ر:B006→ق ب ر:B003 ; ش ه د:B006→ح ص ل:B005 ; ج م ع:B011→ح ص ل:B005 ; ع د و:B006→ح ب ب:B004]
71	PF0071	0.4999	cycle / light / zenith / sunrise	4	1,2,3,4,6,7,8,9,11	ب ع ث ر ث و ر ر ب ب ش د د ش ه د ص ب ح ض ب ح ق د ح	ر ب ب:B002@6,11:إصلاح وتربية وإتمام | ش د د:B005@8:شد النهار وارتفاعه | ص ب ح:B001@3:الصبح وأول النهار | ض ب ح:B004@1:تغير اللون إلى السواد	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ر ب ب:B009@6,11:شاة رُبّى وحداثة | ر ب ب:B012@6,11:ربة نبات | ش ه د:B006@7:الخارج عند الولادة والإدراك | ق د ح:B009@2:رخص أطراف النبت	P2546	P2546[ص ب ح:B001→ش د د:B005 ; ض ب ح:B004→ص ب ح:B001 ; ص ب ح:B001→ر ب ب:B002] | P1989[ص ب ح:B001→ش د د:B005 ; ص ب ح:B001→ر ب ب:B002 ; ر ب ب:B002→ب ع ث ر:B001 ; ث و ر:B002→ب ع ث ر:B001] | P2143[ض ب ح:B004→ص ب ح:B001 ; ص ب ح:B001→ش ه د:B006 ; ر ب ب:B009→ش ه د:B006 ; ص ب ح:B001→ش د د:B005] | P2475[ق د ح:B009→ش د د:B005 ; ص ب ح:B001→ش د د:B005 ; ق د ح:B009→ر ب ب:B012]
72	PF0072	0.4997	exception / exclusion / logic / grammar	6	1,2,3,4,5,6,8,9,10,11	ب ع ث ر ث و ر ج م ع ح ص ل خ ي ر ر ب ب ع د و ع ل م غ ي ر ق د ح و ر ي و س ط	ر ب ب:B015@6,11:حرف رب وربما | ع د و:B004@1:المجاوزة والاستثناء والصرف | غ ي ر:B005@3:السوى والخلاف والاستثناء والنفي | و س ط:B004@5:مرتبة وسطى بين الجيد والرديء	ب ع ث ر:B001@9:قلب التراب وكشف المدفون | ث و ر:B002@4:إثارة الشيء وتحريكه من موضعه | ج م ع:B003@5:عزم محكم جمع الرأي بعد تفرقه | ج م ع:B011@5:نخل دقل اجتمع من النوى لا يعرف اسمه | ح ص ل:B002@10:استخراج اللب أو النفيس من غلافه | ح ص ل:B005@10:بلح حصل من النخلة قبل اشتداده | خ ي ر:B002@8:فضل الصلاح والاصطفاء | خ ي ر:B005@8:الكرم والهبة | ع ل م:B002@9:أثر يميز الشيء ويهدي إليه | ق د ح:B010@2:اقتداح الأمر بالنظر والتدبير | و ر ي:B006@2:الجانب الوراء: خلف أو أمام أو سوى	P1862	P1862[ع د و:B004→غ ي ر:B005 ; غ ي ر:B005→و س ط:B004 ; و س ط:B004→خ ي ر:B002 ; ع د و:B004→ر ب ب:B015] | P0308[ع د و:B004→ر ب ب:B015 ; ع د و:B004→غ ي ر:B005 ; ر ب ب:B015→ب ع ث ر:B001 ; ث و ر:B002→ب ع ث ر:B001 ; غ ي ر:B005→و س ط:B004 ; و س ط:B004→خ ي ر:B002 ; و ر ي:B006→و س ط:B004 ; ب ع ث ر:B001→ح ص ل:B002 ; ث و ر:B002→ع ل م:B002] | P2076[ع د و:B004→ر ب ب:B015 ; ع د و:B004→غ ي ر:B005 ; ج م ع:B011→ر ب ب:B015 ; ج م ع:B011→ح ص ل:B005] | P2137[ع د و:B004→ج م ع:B003 ; ع د و:B004→غ ي ر:B005 ; ق د ح:B010→ج م ع:B003 ; ع د و:B004→ر ب ب:B015]
73	PF0073	0.4989	fire / spark / uselessness / expression	9	1,2,3,4,5,6,7,8,9,10,11	ء ن س ث و ر ج م ع ح ب ب ح ص ل ر ب ب ش د د ش ه د ص ب ح ض ب ح ق ب ر ق د ح و ر ي	ء ن س:B005@6:إنسان العين وصورة الإنسان في السواد | ح ب ب:B011@8:نار الحباحب شرر لا ينتفع به | ح ص ل:B004@10:موضع يجتمع فيه الطعام في جوف الطائر | ش ه د:B005@7:اللسان الشاهد	ض ب ح:B003@1:إحراق أعالي العود | ق د ح:B001@2:إيراء النار بالقدح	P2040	P2040[و ر ي:B001→ح ص ل:B004 ; ء ن س:B005→ح ص ل:B004 ; ء ن س:B005→ش ه د:B005 ; ح ب ب:B011→ح ص ل:B004] | P0869[ج م ع:B004→ش ه د:B001 ; ء ن س:B005→ش ه د:B001 ; ء ن س:B005→ح ص ل:B004 ; ح ب ب:B011→ح ص ل:B004 ; ض ب ح:B003→ح ب ب:B011 ; ض ب ح:B003→ق د ح:B001 ; و ر ي:B002→ق د ح:B001] | P1084[ء ن س:B005→ش ه د:B005 ; ء ن س:B005→ح ص ل:B004 ; ح ب ب:B011→ح ص ل:B004 ; ض ب ح:B003→ح ب ب:B011 ; ض ب ح:B003→ق د ح:B002 ; ق د ح:B002→ش د د:B002] | P1601[ض ب ح:B004→ص ب ح:B006 ; ض ب ح:B004→ء ن س:B005 ; ء ن س:B005→ش ه د:B005 ; ء ن س:B005→ح ص ل:B004 ; ح ب ب:B011→ح ص ل:B004]
74	PF0074	0.4987	solid / division / bisection / cutting	21	1,2,3,4,5,6,7,8,9,10,11	ث و ر ج م ع ح ب ب ح ص ل خ ي ر ر ب ب ش د د ش ه د ص د ر ض ب ح ع د و غ ي ر ق ب ر ق د ح ك ن د ن ق ع و س ط	ث و ر:B005@4:ثورة الأقط: قطعة جامدة | ص د ر:B006@10:الطائفة من الشيء | ك ن د:B001@6:القطع والانفصال | و س ط:B006@5:قطع الشيء نصفين	ج م ع:B006@5:اتصال الجماع والمجامعة | ج م ع:B012@5:عظم الشيء كأنه جامع ممتلئ | ح ب ب:B001@8:الحبة التي تنبت وتحمل الحب | ر ب ب:B014@6,11:رَبْرَب قطيع | ر ب ب:B016@6,11:رُبَى حاجة وعقدة ونعمة | ش د د:B001@8:شد العقد والوثاق	P0922	P0922[ث و ر:B005→و س ط:B006 ; و س ط:B006→ك ن د:B001 ; و س ط:B006→ص د ر:B006 ; ك ن د:B001→ح ب ب:B001 ; و س ط:B006→ج م ع:B006] | P0270[ر ب ب:B016→ش د د:B001 ; ك ن د:B001→ش د د:B001 ; و س ط:B006→ك ن د:B001 ; و س ط:B006→ص د ر:B006 ; ج م ع:B012→ص د ر:B006 ; ث و ر:B005→ج م ع:B012 ; ق د ح:B002→ش د د:B001 ; ض ب ح:B003→ق د ح:B002 ; ر ب ب:B016→ح ب ب:B003] | P0947[ث و ر:B005→ج م ع:B003 ; ث و ر:B005→و س ط:B006 ; و س ط:B006→ك ن د:B001 ; ق د ح:B010→ج م ع:B003 ; و س ط:B006→ص د ر:B006 ; ك ن د:B001→ح ب ب:B001 ; ث و ر:B005→ر ب ب:B014] | P0966[ن ق ع:B004→ج م ع:B008 ; ج م ع:B008→ر ب ب:B010 ; ث و ر:B005→ج م ع:B008 ; ث و ر:B005→و س ط:B006 ; و س ط:B006→ك ن د:B001 ; و س ط:B006→ص د ر:B006]
75	PF0075	0.4984	thousand / multitude / animal_life/wildlife / tribe	3	2,4,5,6,9,11	ث و ر ج م ع ر ب ب ع ل م ق ب ر ق د ح ن ق ع	ث و ر:B006@4:ثور اسما لمكان أو قوم أو برج | ج م ع:B006@5:اتصال الجماع والمجامعة | ر ب ب:B004@6,11:ربة وجماعات كثيرة | ق ب ر:B003@9:القُبَّرة الطائر	ج م ع:B002@5:جماعة اجتمعت أو أخلاط ضمتها الجهة | ع ل م:B006@9:طائر جارح يسمى العلام | ق د ح:B003@2:طعن في النسب | ن ق ع:B009@4:نقعه بالشتم القبيح	P2560	P2560[ج م ع:B006→ر ب ب:B004 ; ث و ر:B006→ر ب ب:B004 ; ث و ر:B006→ق ب ر:B003] | P2100[ج م ع:B002→ر ب ب:B004 ; ث و ر:B006→ر ب ب:B004 ; ث و ر:B006→ق ب ر:B003 ; ع ل م:B006→ق ب ر:B003] | P2565[ن ق ع:B009→ج م ع:B006 ; ق د ح:B003→ن ق ع:B009 ; ج م ع:B006→ر ب ب:B004]
76	PF0076	0.4979	cattle / ox / livestock / mankind	46	1,2,3,4,5,6,7,8,9,10,11	ء ن س ب ع ث ر ث و ر ج م ع ح ب ب ح ص ل خ ب ر خ ي ر ر ب ب ش د د ش ه د ص ب ح ص د ر ض ب ح ع د و ع ل م غ ي ر ق ب ر ق د ح ك ن د ن ق ع و ر ي و س ط	ء ن س:B001@6:ظهور الإنسان المخالف للتوحش والجن | ث و ر:B004@4:الثور: ذكر البقر | ر ب ب:B014@6,11:رَبْرَب قطيع | ص د ر:B001@10:الصدر الجارحة وما يتصل بها	ج م ع:B002@5:جماعة اجتمعت أو أخلاط ضمتها الجهة | ج م ع:B007@5:حال المرأة أو الأنثى التي بقي حملها أو عذرها معها | ح ب ب:B010@8:الحبحاب الصغير القصير | خ ب ر:B004@11:الغزر في المزادة والناقة | ص ب ح:B008@3:الناقة المصباح | ق د ح:B003@2:طعن في النسب | ن ق ع:B009@4:نقعه بالشتم القبيح | و س ط:B005@5:الوساطة بين الناس	P1213	P1213[و س ط:B005→ج م ع:B002 ; ج م ع:B002→ء ن س:B001 ; ث و ر:B004→ء ن س:B001 ; ث و ر:B004→ر ب ب:B014 ; ر ب ب:B014→ح ب ب:B010 ; و س ط:B005→ص د ر:B006] | P0023[ع د و:B006→غ ي ر:B002 ; ع د و:B006→ح ب ب:B004 ; ح ب ب:B004→ب ع ث ر:B002 ; ق د ح:B003→ب ع ث ر:B002 ; ق د ح:B003→ج م ع:B007 ; ج م ع:B007→ء ن س:B001 ; ث و ر:B004→ء ن س:B001 ; ث و ر:B004→ر ب ب:B014 ; ث و ر:B004→ص د ر:B001] | P0350[ص ب ح:B008→ح ب ب:B010 ; ص ب ح:B008→خ ب ر:B004 ; و ر ي:B004→خ ب ر:B004 ; ر ب ب:B014→ح ب ب:B010 ; ث و ر:B004→ر ب ب:B014 ; ث و ر:B004→ص د ر:B001 ; ق ب ر:B004→خ ب ر:B004 ; ج م ع:B005→ق ب ر:B004 ; ن ق ع:B009→ق ب ر:B004] | P1090[ج م ع:B002→ر ب ب:B004 ; ع د و:B003→ج م ع:B002 ; ع د و:B003→ش د د:B003 ; ج م ع:B002→ء ن س:B001 ; ث و ر:B004→ء ن س:B001 ; و س ط:B003→ج م ع:B002]
