rank	path_id	path_score	label_hint	ayahs	roots	branch_chain
1317	P1317	0.6898	conflict_security/conflict / opposition / competition / gratitude	1,2,5,6,7	ح م د س م و ع ب د ع و ن غ ض ب ق و م	س م و:B007:المساماة والمباراة | ح م د:B001:الحمد خلاف الذم | ع ب د:B006:التكريم والتعظيم | ع و ن:B003:الحرب العَوان | ق و م:B014:مقاومة ومنازلة | غ ض ب:B003:المراغمة والمخالفة
1318	P1318	0.6898	tribe / honor / adoration / men	1,2,5,6,7	ء ل ه ر ب ب س م و ع ب د غ ي ر ق و م	س م و:B006:الخروج للصيد | ء ل ه:B001:التعبد والمعبود | ر ب ب:B004:ربة وجماعات كثيرة | ع ب د:B004:التعبيد والاستعباد | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل
1319	P1319	0.6896	pillar / foundation / grammar / space_form_boundary/form_structure	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ق و م م ل ك ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B015:حرف رب وربما | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B006:التكريم والتعظيم | ق و م:B009:قوام وعماد ومعاش | ن ع م:B001:حسن الحال والنعمة
1320	P1320	0.6896	settlement / place / city / comfort	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م ع و ن ق و م ن ع م	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B002:إصلاح وتربية وإتمام | د ي ن:B006:مدينة الطاعة | ع و ن:B008:النسبة إلى عانة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام
1321	P1321	0.6896	honor / body_health_life/reproduction_birth / nurse / stepchild	1,2,3,6,7	ر ب ب ر ح م ع ل م غ ض ب غ ي ر ه د ي	ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B004:شق ظاهر في الشفة العليا | ه د ي:B009:الهداء البليد الضعيف | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B005:غلظ الجسم وشدة الحمرة
1322	P1322	0.6894	conflict_security/conflict / resistance / opposition / virtue	1,2,3,5,6,7	ح م د ر ح م ع و ن غ ض ب ق و م ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B003:المحمود كثير الخصال | ع و ن:B003:الحرب العَوان | ق و م:B014:مقاومة ومنازلة | ن ع م:B008:طيران النعامة وتفرق القوم | غ ض ب:B003:المراغمة والمخالفة
1323	P1323	0.6894	body_health_life/reproduction_birth / disease / annoyance / stance	1,2,3,5,6,7	ر ب ب ر ح م ع ب د غ ض ب ق و م	ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B009:شاة رُبّى وحداثة | ع ب د:B007:القوة والصلابة | ق و م:B020:قوام في قوائم الشاة | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
1324	P1324	0.6893	gambling / hide / disease / stance	1,2,3,5,6,7	ر ب ب ر ح م ع و ن غ ض ب ق و م ه د ي	ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B010:ربابة تجمع القداح | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B020:قوام في قوائم الشاة | غ ض ب:B008:جلد صلب أو مطوي كدرقة
1325	P1325	0.6893	family / honor / posture / nurse	1,2,3,5,6,7	ر ب ب ر ح م ع ل م ع و ن غ ي ر ق و م	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | ع ل م:B004:شق ظاهر في الشفة العليا | ع و ن:B008:النسبة إلى عانة | ق و م:B002:انتصاب وقيام بالبدن | غ ي ر:B004:الغَيْرة على الأهل
1326	P1326	0.6892	ritual_belief/religion_worship / religion / submission / devotion	1,2,4,5,6,7	ء ل ه د ي ن ض ل ل ع ب د غ ض ب ه د ي	ء ل ه:B001:التعبد والمعبود | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ه د ي:B001:دلالة بلطف إلى الطريق والحق | غ ض ب:B001:اشتداد السخط وثورانه للانتقام | ض ل ل:B001:الضلال عن الهدى والقصد
1327	P1327	0.6891	comfort / livelihood / water / ownership	2,4,5,6,7	د ي ن ر ب ب ع ب د ع ل م ق و م م ل ك ن ع م	ر ب ب:B013:ماء رَبَب كثير | ع ل م:B005:ماء كثير مجتمع في عيلم | م ل ك:B007:الماء مَلَك الأمر | د ي ن:B004:الإذلال والملك | ع ب د:B001:الرق والملك | ق و م:B009:قوام وعماد ومعاش | ن ع م:B002:اللين والنعومة ورفاه العيش
1328	P1328	0.6891	goal / commitment / support / utmost	2,4,5,6,7	ح م د ع ب د ع و ن غ ض ب ق و م م ل ك	ح م د:B004:حماداك الغاية المحمودة | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B007:القوة والصلابة | ع و ن:B001:الإعانة والمظاهرة | ق و م:B003:عزم ونهوض إلى الأمر | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
1329	P1329	0.6891	burial / comfort / residence / space_form_boundary/place_location	1,2,5,6,7	ء ل ه ح م د ض ل ل ع ب د ق و م ن ع م	ء ل ه:B001:التعبد والمعبود | ح م د:B002:وجود الشيء محمودا | ع ب د:B006:التكريم والتعظيم | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | ض ل ل:B002:الغيبوبة والخفاء
1330	P1330	0.689	shadow / opposition / conflict_security/conflict / competition	1,2,4,5,6,7	ء ل ه س م و ع ب د ع و ن غ ض ب ق و م ي و م	س م و:B007:المساماة والمباراة | ء ل ه:B001:التعبد والمعبود | ي و م:B001:وقت النهار المحدود | ع ب د:B006:التكريم والتعظيم | ع و ن:B001:الإعانة والمظاهرة | ق و م:B017:انتصاف النهار وقائم الظهيرة | غ ض ب:B003:المراغمة والمخالفة
1331	P1331	0.6889	leader / comfort / leadership / visibility	1,2,4,6,7	ح م د س م و ق و م م ل ك ن ع م ه د ي	س م و:B002:الشخص المرتفع الظاهر | ح م د:B002:وجود الشيء محمودا | م ل ك:B008:المتقدم القائد في الحيوان | ه د ي:B003:المتقدم الهادي وأوائل الشيء | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام
1332	P1332	0.6888	city / stay / residence / stray	1,2,4,6,7	د ي ن ر ب ب س م و ض ل ل ق و م ن ع م	س م و:B004:السماء وما علا فأظل | ر ب ب:B007:لزوم وإقامة ودوام | د ي ن:B006:مدينة الطاعة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B005:مال الأنعام والإبل | ض ل ل:B005:الضالّة في المضيعة
1333	P1333	0.6888	opposition / conflict_security/conflict / competition / governance	1,4,5,6,7	س م و ع و ن غ ض ب ق و م م ل ك ه د ي	س م و:B007:المساماة والمباراة | م ل ك:B005:مِلاك الأمر وعِماده | ع و ن:B001:الإعانة والمظاهرة | ه د ي:B002:جهة الأمر وسيرته وقصده | ق و م:B004:رعاية وحفظ وولاية | غ ض ب:B003:المراغمة والمخالفة
1334	P1334	0.6887	settlement / city / opposition / comfort	1,4,6,7	د ي ن س م و ض ل ل غ ض ب ق و م ن ع م	س م و:B007:المساماة والمباراة | د ي ن:B006:مدينة الطاعة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B005:الضالّة في المضيعة
1335	P1335	0.6887	captain / pilot / sailor / commander	1,2,5,6,7	ر ب ب س م و ص ر ط ع ب د ع و ن	س م و:B003:تطاول الفحل على الشول | ر ب ب:B017:رباني الملاحين | ع ب د:B012:صَلاءة الطيب | ع و ن:B004:النخلة العَوانة القديمة | ص ر ط:B002:الغيبة في المرور والبلع
1336	P1336	0.6886	goal / commitment / conflict_security/conflict / visibility	1,2,4,5,6,7	ح م د س م و ع و ن غ ض ب ق و م م ل ك	س م و:B002:الشخص المرتفع الظاهر | ح م د:B004:حماداك الغاية المحمودة | م ل ك:B005:مِلاك الأمر وعِماده | ع و ن:B001:الإعانة والمظاهرة | ق و م:B003:عزم ونهوض إلى الأمر | غ ض ب:B003:المراغمة والمخالفة
1337	P1337	0.6886	contract / honor / family / body_health_life/reproduction_birth	1,2,3,4,6,7	د ي ن ر ب ب ر ح م غ ي ر ق و م م ل ك	ر ح م:B003:رَحِم الأنثى | ر ب ب:B005:ربيب وربيبة ورابة | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ق و م:B010:قيمة وتقويم وتسعير | غ ي ر:B004:الغَيْرة على الأهل
1338	P1338	0.6885	ownership / tribe / honor / hierarchy	2,4,5,6,7	د ي ن ر ب ب ع ب د غ ي ر ق و م م ل ك	ر ب ب:B004:ربة وجماعات كثيرة | م ل ك:B002:المِلْك والتصرف | د ي ن:B004:الإذلال والملك | ع ب د:B001:الرق والملك | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل
1339	P1339	0.6885	travel / fatigue / adoration / breakdown	1,2,5,6,7	ء ل ه ع ب د ع و ن ق و م ن ع م ه د ي	ء ل ه:B001:التعبد والمعبود | ع ب د:B011:العطب والانقطاع | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ق و م:B016:جمود ووقوف وكلال | ن ع م:B012:المشي على القدم وابتذالها
1340	P1340	0.6884	bird / honor / marriage / animal_life/wildlife	1,2,3,5,6,7	ر ح م ع ل م ع و ن غ ي ر ن ع م ه د ي	ر ح م:B003:رَحِم الأنثى | ع ل م:B006:طائر جارح يسمى العلام | ع و ن:B007:عانة الرجل | ه د ي:B006:العروس المهدية إلى زوجها | ن ع م:B006:النعام والنعامة الطائر | غ ي ر:B004:الغَيْرة على الأهل
1341	P1341	0.6882	residence / settlement / city / stay	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م ع ب د ق و م ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B007:لزوم وإقامة ودوام | د ي ن:B006:مدينة الطاعة | ع ب د:B006:التكريم والتعظيم | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام
1342	P1342	0.6882	gambling / commitment / family / mainstay	1,2,3,4,5,6,7	ر ب ب ر ح م ع و ن ق و م م ل ك ن ع م	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B010:ربابة تجمع القداح | م ل ك:B005:مِلاك الأمر وعِماده | ع و ن:B008:النسبة إلى عانة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B007:ما سمي نعامة تشبيها بالهيئة
1343	P1343	0.6882	pillar / foundation / comfort / space_form_boundary/form_structure	1,2,4,5,6,7	ء ل ه ح م د ع ب د ق و م م ل ك ن ع م	ء ل ه:B001:التعبد والمعبود | ح م د:B002:وجود الشيء محمودا | م ل ك:B005:مِلاك الأمر وعِماده | ع ب د:B006:التكريم والتعظيم | ق و م:B009:قوام وعماد ومعاش | ن ع م:B011:موافقة المكان وطيب المقام
1344	P1344	0.688	family / honor / nurse / stepchild	1,2,3,5,6,7	ر ب ب ر ح م ع و ن غ ي ر ق و م	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | ع و ن:B007:عانة الرجل | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل
1345	P1345	0.6878	residence / settlement / city / stay	2,4,6,7	د ي ن ر ب ب ض ل ل غ ي ر ق و م ن ع م	ر ب ب:B007:لزوم وإقامة ودوام | د ي ن:B006:مدينة الطاعة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره | ض ل ل:B003:فقدان الشيء
1346	P1346	0.6878	tool / support / overcast / chase	1,2,5,6,7	ر ب ب س م و ص ر ط ع و ن ق و م ن ع م	س م و:B006:الخروج للصيد | ر ب ب:B008:رباب السحاب | ع و ن:B004:النخلة العَوانة القديمة | ص ر ط:B003:السيف القاطع الماضي في الضربة | ق و م:B012:آلة قائمة وجزء قائم | ن ع م:B007:ما سمي نعامة تشبيها بالهيئة
1347	P1347	0.6878	burial / fatigue / adoration / breakdown	1,2,5,6,7	ء ل ه ح م د ض ل ل ع ب د غ ض ب ق و م	ء ل ه:B001:التعبد والمعبود | ح م د:B002:وجود الشيء محمودا | ع ب د:B011:العطب والانقطاع | ق و م:B016:جمود ووقوف وكلال | غ ض ب:B002:الغضب لشخص حي أو به بعد موته | ض ل ل:B002:الغيبوبة والخفاء
1348	P1348	0.6878	herd / zoology / disease / ecology	1,2,3,5,6,7	ر ب ب ر ح م ض ل ل ع و ن ق و م ه د ي	ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B014:رَبْرَب قطيع | ع و ن:B006:العانة قطيع الحمر | ه د ي:B009:الهداء البليد الضعيف | ق و م:B020:قوام في قوائم الشاة | ض ل ل:B001:الضلال عن الهدى والقصد
1349	P1349	0.6877	ritual_belief/religion_worship / submission / devotion / worship	1,2,4,5,6,7	ء ل ه ح م د د ي ن ع ب د ق و م ن ع م	ء ل ه:B001:التعبد والمعبود | ح م د:B001:الحمد خلاف الذم | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ق و م:B021:عين قائمة ذاهبة البصر | ن ع م:B013:نعم الله بك عينا وقرة العين
1350	P1350	0.6877	honor / adoration / lending / men	1,2,4,5,6,7	ء ل ه د ي ن ع ب د غ ي ر ق و م	ء ل ه:B001:التعبد والمعبود | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل
1351	P1351	0.6876	vitality / honor / strength / men	2,5,6,7	ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م	ع ل م:B006:طائر جارح يسمى العلام | ع ب د:B007:القوة والصلابة | ع و ن:B005:استواء الخلقة وتلاحق القوة | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
1352	P1352	0.6876	contract / posture / adoration / espousal	1,2,4,5,6,7	ء ل ه د ي ن ع ب د غ ي ر ق و م م ل ك	ء ل ه:B001:التعبد والمعبود | م ل ك:B004:الإملاك والتزويج | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ق و م:B002:انتصاب وقيام بالبدن | غ ي ر:B003:تغيير الصورة أو إبدال الشيء بغيره
1353	P1353	0.6875	enslavement / subjugation / ownership / coercion	1,2,4,5,6	ء ل ه د ي ن ع ب د ق و م م ل ك ه د ي	ء ل ه:B001:التعبد والمعبود | م ل ك:B002:المِلْك والتصرف | د ي ن:B004:الإذلال والملك | ع ب د:B004:التعبيد والاستعباد | ه د ي:B002:جهة الأمر وسيرته وقصده | ق و م:B004:رعاية وحفظ وولاية
1354	P1354	0.6874	burial / disappearance / anger / adoration	1,2,5,6,7	ء ل ه ح م د ص ر ط ض ل ل ع ب د غ ض ب	ء ل ه:B001:التعبد والمعبود | ح م د:B002:وجود الشيء محمودا | ع ب د:B008:الأنفة والغضب | ص ر ط:B002:الغيبة في المرور والبلع | غ ض ب:B001:اشتداد السخط وثورانه للانتقام | ض ل ل:B002:الغيبوبة والخفاء
1355	P1355	0.6874	family / commitment / nurse / stepchild	1,2,3,4,5,6,7	ر ب ب ر ح م ع و ن ق و م ن ع م ي و م	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | ي و م:B003:كائنة اليوم وشدته | ع و ن:B008:النسبة إلى عانة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B003:مدح الشيء بنعم
1356	P1356	0.6874	residence / stay / comfort / competition	1,2,6,7	ح م د ر ب ب س م و غ ض ب ق و م ن ع م	س م و:B007:المساماة والمباراة | ح م د:B002:وجود الشيء محمودا | ر ب ب:B007:لزوم وإقامة ودوام | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B002:الغضب لشخص حي أو به بعد موته
1357	P1357	0.6873	fatigue / water / resource / hydrology	1,2,4,5,6,7	ء ل ه ر ب ب ض ل ل ع ب د ع ل م ق و م م ل ك	ء ل ه:B001:التعبد والمعبود | ر ب ب:B013:ماء رَبَب كثير | ع ل م:B005:ماء كثير مجتمع في عيلم | م ل ك:B007:الماء مَلَك الأمر | ع ب د:B011:العطب والانقطاع | ق و م:B016:جمود ووقوف وكلال | ض ل ل:B003:فقدان الشيء
1358	P1358	0.6873	family / honor / nurse / stepchild	1,2,3,6,7	ر ب ب ر ح م غ ض ب غ ي ر ه د ي	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | ه د ي:B009:الهداء البليد الضعيف | غ ي ر:B004:الغَيْرة على الأهل | غ ض ب:B005:غلظ الجسم وشدة الحمرة
1359	P1359	0.6872	ethics / grammar / navigation / boundary	1,2,3,4,6,7	ر ب ب ر ح م ض ل ل م ل ك ن ع م ه د ي	ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B015:حرف رب وربما | م ل ك:B006:مَلَك الطريق والوادي | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ن ع م:B001:حسن الحال والنعمة | ض ل ل:B001:الضلال عن الهدى والقصد
1360	P1360	0.6872	residence / stay / burial / comfort	1,2,6,7	ح م د ر ب ب س م و ض ل ل ق و م ن ع م	س م و:B002:الشخص المرتفع الظاهر | ح م د:B002:وجود الشيء محمودا | ر ب ب:B007:لزوم وإقامة ودوام | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام | ض ل ل:B002:الغيبوبة والخفاء
1361	P1361	0.6872	paving / smoothing / pedestrian / travel	1,2,5,6,7	ر ب ب س م و ع ب د ع و ن ن ع م ه د ي	س م و:B006:الخروج للصيد | ر ب ب:B014:رَبْرَب قطيع | ع ب د:B005:التذليل والتسوية | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B008:مشي التهادي مع الاعتماد والتمايل | ن ع م:B012:المشي على القدم وابتذالها
1362	P1362	0.6872	family / honor / marriage / nurse	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م ع و ن غ ي ر ه د ي	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B005:ربيب وربيبة ورابة | د ي ن:B007:التصديق والتفويض | ع و ن:B007:عانة الرجل | ه د ي:B006:العروس المهدية إلى زوجها | غ ي ر:B004:الغَيْرة على الأهل
1363	P1363	0.6871	property / prayer / ownership / honor	1,2,4,5,6,7	ء ل ه ر ب ب ع ب د ق و م م ل ك ن ع م	ء ل ه:B002:اسم الله في القسم والنداء | ر ب ب:B001:ربوبية وملك وسيادة | م ل ك:B002:المِلْك والتصرف | ع ب د:B001:الرق والملك | ق و م:B019:وجع قائم بالعضو | ن ع م:B013:نعم الله بك عينا وقرة العين
1364	P1364	0.6871	heraldry / syrup / eminence / paste	1,2,7	ر ب ب س م و ع ل م غ ي ر	س م و:B001:العلو والارتفاع | ر ب ب:B006:رُبّ خاثر وإصلاح به | ع ل م:B002:أثر يميز الشيء ويهدي إليه | غ ي ر:B001:الصلاح والمنفعة بالميرة والسقي والإصلاح
1365	P1365	0.687	benefaction / favor / fatigue / kinship_society/hospitality_welfare	1,2,3,5,6,7	ح م د ر ب ب ر ح م ع ب د ق و م ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ح م د:B005:يتحمد بالمنة | ر ب ب:B016:رُبَى حاجة وعقدة ونعمة | ع ب د:B011:العطب والانقطاع | ق و م:B016:جمود ووقوف وكلال | ن ع م:B003:مدح الشيء بنعم
1366	P1366	0.6869	shadow / anger / religion / ritual_belief/religion_worship	1,2,4,5,6,7	ء ل ه ض ل ل ع ب د غ ض ب ق و م ه د ي ي و م	ء ل ه:B001:التعبد والمعبود | ي و م:B001:وقت النهار المحدود | ع ب د:B008:الأنفة والغضب | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ق و م:B017:انتصاف النهار وقائم الظهيرة | غ ض ب:B001:اشتداد السخط وثورانه للانتقام | ض ل ل:B001:الضلال عن الهدى والقصد
1367	P1367	0.6869	honor / gratitude / blessing / vision	1,2,5,6,7	ح م د س م و ع ب د ع ل م ق و م ن ع م	س م و:B001:العلو والارتفاع | ح م د:B001:الحمد خلاف الذم | ع ل م:B007:ذكر الضباع يسمى العيلام | ع ب د:B010:التفرق في الوجوه | ق و م:B021:عين قائمة ذاهبة البصر | ن ع م:B013:نعم الله بك عينا وقرة العين
1368	P1368	0.6869	substitution / burial / disappearance / comfort	2,6,7	ح م د ص ر ط ض ل ل غ ض ب ق و م ن ع م	ح م د:B002:وجود الشيء محمودا | ص ر ط:B002:الغيبة في المرور والبلع | ق و م:B007:نيابة وقيام مقام غيره | ن ع م:B011:موافقة المكان وطيب المقام | غ ض ب:B002:الغضب لشخص حي أو به بعد موته | ض ل ل:B002:الغيبوبة والخفاء
1369	P1369	0.6868	settlement / city / comfort / residence	1,2,4,5,6,7	ء ل ه د ي ن ع ب د ق و م ن ع م	ء ل ه:B001:التعبد والمعبود | د ي ن:B006:مدينة الطاعة | ع ب د:B006:التكريم والتعظيم | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام
1370	P1370	0.6866	adoration / lending / pricing / pedestrian	1,2,4,5,6,7	ء ل ه د ي ن س م و ع ب د ق و م ن ع م	س م و:B006:الخروج للصيد | ء ل ه:B001:التعبد والمعبود | د ي ن:B003:الدين المالي | ع ب د:B004:التعبيد والاستعباد | ق و م:B010:قيمة وتقويم وتسعير | ن ع م:B012:المشي على القدم وابتذالها
1371	P1371	0.6866	city / stay / ritual_belief/religion_worship / submission	1,2,4,5,6,7	ء ل ه د ي ن ر ب ب ع ب د ق و م ن ع م	ء ل ه:B001:التعبد والمعبود | ر ب ب:B007:لزوم وإقامة ودوام | د ي ن:B006:مدينة الطاعة | ع ب د:B003:العبادة والطاعة الخاضعة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B009:النعامى ريح لينة
1372	P1372	0.6866	strength / heraldry / material / annoyance	1,2,4,5,7	س م و ع ب د ع ل م غ ض ب م ل ك	س م و:B001:العلو والارتفاع | ع ل م:B002:أثر يميز الشيء ويهدي إليه | م ل ك:B001:قوة الشيء وتماسكه | ع ب د:B007:القوة والصلابة | غ ض ب:B007:العبوس والضجر والعظم في وصف الحيوان أو الشخص
1373	P1373	0.6864	conflict_security/conflict / virtue / reputation / navigation	2,4,5,6,7	ح م د ض ل ل ع و ن ق و م م ل ك ه د ي	ح م د:B003:المحمود كثير الخصال | م ل ك:B006:مَلَك الطريق والوادي | ع و ن:B003:الحرب العَوان | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ق و م:B014:مقاومة ومنازلة | ض ل ل:B001:الضلال عن الهدى والقصد
1374	P1374	0.6864	leader / leadership / visibility / body_health_life/reproduction_birth	1,2,3,4,5,6	ر ب ب ر ح م س م و ع و ن م ل ك ه د ي	س م و:B002:الشخص المرتفع الظاهر | ر ح م:B004:وجع الرَّحِم بعد الولادة | ر ب ب:B009:شاة رُبّى وحداثة | م ل ك:B008:المتقدم القائد في الحيوان | ع و ن:B005:استواء الخلقة وتلاحق القوة | ه د ي:B003:المتقدم الهادي وأوائل الشيء
1375	P1375	0.6864	substitution / education / divinity / proxy	1,2,3,6,7	ر ب ب ر ح م ع ل م غ ي ر ق و م ن ع م	ر ح م:B001:الرَّحْمَة والرقة | ر ب ب:B002:إصلاح وتربية وإتمام | ع ل م:B001:انكشاف الشيء للعارف | ق و م:B007:نيابة وقيام مقام غيره | ن ع م:B001:حسن الحال والنعمة | غ ي ر:B005:السوى والخلاف والاستثناء والنفي
1376	P1376	0.6864	religion / navigation / ritual_belief/religion_worship / boundary	1,2,4,5,6,7	ء ل ه د ي ن ض ل ل ع ب د م ل ك ه د ي	ء ل ه:B001:التعبد والمعبود | م ل ك:B006:مَلَك الطريق والوادي | د ي ن:B007:التصديق والتفويض | ع ب د:B006:التكريم والتعظيم | ه د ي:B001:دلالة بلطف إلى الطريق والحق | ض ل ل:B001:الضلال عن الهدى والقصد
1377	P1377	0.6863	shadow / opposition / conflict_security/conflict / competition	1,4,5,6,7	س م و ض ل ل ع و ن غ ض ب ق و م ن ع م ي و م	س م و:B007:المساماة والمباراة | ي و م:B001:وقت النهار المحدود | ع و ن:B001:الإعانة والمظاهرة | ق و م:B017:انتصاف النهار وقائم الظهيرة | ن ع م:B005:مال الأنعام والإبل | غ ض ب:B003:المراغمة والمخالفة | ض ل ل:B005:الضالّة في المضيعة
1378	P1378	0.6863	goal / city / ritual_belief/religion_worship / straightness	1,2,4,5,6,7	ء ل ه ح م د د ي ن ص ر ط ع ب د ق و م	ء ل ه:B001:التعبد والمعبود | ح م د:B004:حماداك الغاية المحمودة | د ي ن:B006:مدينة الطاعة | ع ب د:B003:العبادة والطاعة الخاضعة | ص ر ط:B001:الطريق المستقيم | ق و م:B008:استقامة واعتدال واستواء
1379	P1379	0.6863	commitment / burial / comfort / support	2,4,5,6,7	ح م د ض ل ل ع و ن ق و م م ل ك ن ع م	ح م د:B002:وجود الشيء محمودا | م ل ك:B005:مِلاك الأمر وعِماده | ع و ن:B001:الإعانة والمظاهرة | ق و م:B003:عزم ونهوض إلى الأمر | ن ع م:B011:موافقة المكان وطيب المقام | ض ل ل:B002:الغيبوبة والخفاء
1380	P1380	0.6861	ritual_belief/religion_worship / submission / devotion / worship	1,2,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ع ب د ق و م ن ع م	ء ل ه:B001:التعبد والمعبود | ح م د:B004:حماداك الغاية المحمودة | ر ب ب:B007:لزوم وإقامة ودوام | د ي ن:B001:الطاعة والانقياد | ع ب د:B003:العبادة والطاعة الخاضعة | ق و م:B008:استقامة واعتدال واستواء | ن ع م:B009:النعامى ريح لينة
1381	P1381	0.686	gratitude / blessing / sky / honor	1,2,3,5,6,7	ح م د ر ب ب ر ح م س م و ع و ن ق و م ن ع م	س م و:B004:السماء وما علا فأظل | ر ح م:B002:الرَّحِم والقرابة | ح م د:B001:الحمد خلاف الذم | ر ب ب:B008:رباب السحاب | ع و ن:B008:النسبة إلى عانة | ق و م:B019:وجع قائم بالعضو | ن ع م:B013:نعم الله بك عينا وقرة العين
1382	P1382	0.686	enslavement / subjugation / coercion / tribe	2,4,5,6,7	د ي ن ر ب ب ع ب د غ ي ر ق و م ه د ي	ر ب ب:B004:ربة وجماعات كثيرة | د ي ن:B004:الإذلال والملك | ع ب د:B004:التعبيد والاستعباد | ه د ي:B006:العروس المهدية إلى زوجها | ق و م:B001:جماعة الناس والرجال | غ ي ر:B004:الغَيْرة على الأهل
1383	P1383	0.686	opposition / substitution / conflict_security/conflict / competition	1,2,5,6,7	ر ب ب س م و ع ب د غ ض ب غ ي ر ق و م	س م و:B007:المساماة والمباراة | ر ب ب:B007:لزوم وإقامة ودوام | ع ب د:B006:التكريم والتعظيم | ق و م:B007:نيابة وقيام مقام غيره | غ ي ر:B005:السوى والخلاف والاستثناء والنفي | غ ض ب:B003:المراغمة والمخالفة
1384	P1384	0.686	residence / place / stay / comfort	1,2,3,5,6,7	ر ب ب ر ح م ع و ن ق و م ن ع م	ر ح م:B002:الرَّحِم والقرابة | ر ب ب:B007:لزوم وإقامة ودوام | ع و ن:B008:النسبة إلى عانة | ق و م:B006:مقام وإقامة في موضع | ن ع م:B011:موافقة المكان وطيب المقام
