rank	path_family_id	family_score	label_hint	members	ayahs	roots	core_branches	optional_branches	representative_path_id	construction_paths
161	PF0161	0.3987	comfort / visibility / settlement / suitability	10	1,2,5,6,7	ر ب ب س م و ع ب د ق و م ن ع م ه د ي	س م و:B002@1:الشخص المرتفع الظاهر | ن ع م:B011@7:موافقة المكان وطيب المقام		P4912	P4912[س م و:B002→ن ع م:B011 ; ق و م:B003→ن ع م:B011] | P2867[س م و:B002→ن ع م:B011 ; ق و م:B007→ن ع م:B011 ; ر ب ب:B007→ق و م:B007] | P3327[س م و:B002→ه د ي:B003 ; س م و:B002→ن ع م:B011] | P3817[س م و:B002→ن ع م:B011 ; ق و م:B018→ن ع م:B011]
162	PF0162	0.3985	treaty / pact / covenant / taxation	7	1,2,5,6,7	ر ب ب س م و ع ب د ع و ن ن ع م ه د ي	ر ب ب:B011@2:ربابة عهد وميثاق | ن ع م:B007@7:ما سمي نعامة تشبيها بالهيئة		P4011	P4011[ر ب ب:B011→ه د ي:B003 ; ر ب ب:B011→ن ع م:B007] | P4393[ر ب ب:B011→ع ب د:B007 ; ر ب ب:B011→ن ع م:B007] | P4544[ر ب ب:B011→ه د ي:B004 ; ر ب ب:B011→ن ع م:B007] | P4868[ر ب ب:B011→ه د ي:B007 ; ر ب ب:B011→ن ع م:B007]
163	PF0163	0.398	carnivore / hyena / male / eminence	22	1,2,4,5,6,7	ء ل ه ح م د س م و ع ب د ع ل م ع و ن غ ض ب ق و م م ل ك ن ع م ه د ي	س م و:B001@1:العلو والارتفاع | ع ل م:B007@2:ذكر الضباع يسمى العيلام	ع ب د:B006@5:التكريم والتعظيم | ع ب د:B012@5:صَلاءة الطيب | ق و م:B021@6:عين قائمة ذاهبة البصر | ن ع م:B013@7:نعم الله بك عينا وقرة العين	P3211	P3211[س م و:B001→ع ل م:B007 ; ع ل م:B007→ع ب د:B012] | P1367[س م و:B001→ع ل م:B007 ; ع ل م:B007→ق و م:B021 ; ق و م:B021→ن ع م:B013 ; ع ب د:B010→ق و م:B021 ; ح م د:B001→ن ع م:B013] | P2121[س م و:B001→ع ل م:B007 ; ع ل م:B007→ع ب د:B011 ; ع ب د:B011→ق و م:B002 ; م ل ك:B008→ق و م:B002] | P2584[س م و:B001→ق و م:B004 ; س م و:B001→ع ل م:B002 ; ه د ي:B002→ق و م:B004]
164	PF0164	0.3977	gratitude / honor / blessing / veneration	66	1,2,3,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب ر ح م س م و ص ر ط ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي ي و م	ح م د:B001@2:الحمد خلاف الذم | ع ب د:B006@5:التكريم والتعظيم	ء ل ه:B001@1,2:التعبد والمعبود | ح م د:B005@2:يتحمد بالمنة | ن ع م:B013@7:نعم الله بك عينا وقرة العين	P1444	P1444[ح م د:B001→ع ب د:B006 ; ع ب د:B006→ق و م:B009 ; م ل ك:B005→ق و م:B009 ; ح م د:B001→ن ع م:B013] | P0895[ع و ن:B002→ن ع م:B013 ; ق و م:B021→ن ع م:B013 ; ح م د:B001→ن ع م:B013 ; ح م د:B001→ع ب د:B006 ; ع ب د:B006→غ ض ب:B003 ; س م و:B007→غ ض ب:B003 ; ء ل ه:B001→ع ب د:B006 ; ء ل ه:B001→د ي ن:B001] | P0845[ع و ن:B002→ن ع م:B013 ; ح م د:B001→ن ع م:B013 ; ح م د:B001→ع ب د:B006 ; ع ب د:B006→ق و م:B009 ; م ل ك:B005→ق و م:B009 ; ء ل ه:B001→ع ب د:B006 ; د ي ن:B002→ق و م:B009 ; ي و م:B002→د ي ن:B002 ; د ي ن:B002→غ ي ر:B002] | P1701[ع و ن:B002→ن ع م:B013 ; ق و م:B019→ن ع م:B013 ; ح م د:B001→ن ع م:B013 ; ع ب د:B010→ق و م:B019 ; ق و م:B019→غ ض ب:B006]
165	PF0165	0.3975	regret / zeal / mourning / emotion_ethics/emotion	11	1,2,5,6,7	ء ل ه ح م د ر ب ب ع ب د غ ض ب ق و م ن ع م	ر ب ب:B016@2:رُبَى حاجة وعقدة ونعمة | ع ب د:B008@5:الأنفة والغضب	غ ض ب:B005@7:غلظ الجسم وشدة الحمرة	P5465	P5465[ع ب د:B008→غ ض ب:B005 ; ر ب ب:B016→ع ب د:B008] | P3286[ر ب ب:B016→ن ع م:B001 ; ر ب ب:B016→ع ب د:B008] | P3366[ر ب ب:B016→ع ب د:B008 ; ء ل ه:B001→ع ب د:B008] | P3535[ر ب ب:B016→ن ع م:B002 ; ر ب ب:B016→ع ب د:B008]
166	PF0166	0.3972	inflammation / body_health_life/reproduction_birth / puffiness / uterus	8	1,2,3,5,6,7	ر ب ب ر ح م ع ب د ع ل م غ ض ب ق و م ن ع م	ر ح م:B003@1,3:رَحِم الأنثى | غ ض ب:B006@7:تورم العين وما حولها	ق و م:B019@6:وجع قائم بالعضو	P4250	P4250[ر ح م:B003→ر ب ب:B009 ; ر ح م:B003→غ ض ب:B006] | P1758[ق و م:B019→غ ض ب:B006 ; ع ب د:B008→غ ض ب:B006 ; ر ح م:B003→غ ض ب:B006 ; ر ح م:B003→ر ب ب:B005 ; ر ح م:B003→ن ع م:B006] | P4336[ر ح م:B003→ر ب ب:B012 ; ر ح م:B003→غ ض ب:B006] | P4599[ع ل م:B002→غ ض ب:B006 ; ر ح م:B003→غ ض ب:B006]
167	PF0167	0.3971	cosmetic / captain / pilot / sailor	8	2,4,5,6,7	ر ب ب ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م	ر ب ب:B017@2:رباني الملاحين | ع ب د:B012@5:صَلاءة الطيب	ع و ن:B004@5:النخلة العَوانة القديمة | ن ع م:B013@7:نعم الله بك عينا وقرة العين	P3993	P3993[ع ب د:B012→ن ع م:B006 ; ر ب ب:B017→ع ب د:B012] | P2339[ق و م:B019→ن ع م:B013 ; ع و ن:B004→ن ع م:B013 ; ع ب د:B012→ع و ن:B004 ; ر ب ب:B017→ع ب د:B012] | P2472[ع ب د:B012→ع و ن:B004 ; ع و ن:B004→ن ع م:B013 ; ق و م:B021→ن ع م:B013] | P3463[ر ب ب:B017→ع ب د:B012 ; ر ب ب:B017→ن ع م:B009]
168	PF0168	0.3968	pricing / delegation / appraisal / economy_property/commerce_exchange	6	1,2,4,5,6,7	د ي ن ر ب ب س م و ع و ن ق و م ن ع م	د ي ن:B007@4:التصديق والتفويض | ق و م:B010@6:قيمة وتقويم وتسعير	ر ب ب:B007@2:لزوم وإقامة ودوام | س م و:B001@1:العلو والارتفاع | ع و ن:B001@5:الإعانة والمظاهرة | ع و ن:B007@5:عانة الرجل | ع و ن:B008@5:النسبة إلى عانة | ن ع م:B005@7:مال الأنعام والإبل	P4655	P4655[د ي ن:B007→ق و م:B010 ; ع و ن:B001→ق و م:B010] | P4628[د ي ن:B007→ع و ن:B007 ; د ي ن:B007→ق و م:B010] | P5601[د ي ن:B007→ق و م:B010 ; س م و:B001→ق و م:B010] | P5776[ع و ن:B008→ق و م:B010 ; د ي ن:B007→ق و م:B010]
169	PF0169	0.3962	praise / reputation / commitment / goodness	19	1,2,3,5,6,7	ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع و ن ق و م ن ع م ه د ي	س م و:B008@1:الصيت الحسن المنتشر | ق و م:B003@6:عزم ونهوض إلى الأمر | ن ع م:B012@7:المشي على القدم وابتذالها		P3941	P3941[س م و:B008→ن ع م:B012 ; س م و:B008→ق و م:B003] | P2426[ه د ي:B010→ق و م:B011 ; س م و:B008→ه د ي:B010 ; ر ب ب:B007→ق و م:B011 ; س م و:B008→ن ع م:B012] | P2895[ه د ي:B008→ن ع م:B012 ; ق و م:B002→ن ع م:B012 ; ر ح م:B003→ق و م:B002] | P2624[س م و:B008→ه د ي:B002 ; ه د ي:B002→ق و م:B004 ; س م و:B008→ن ع م:B012]
170	PF0170	0.3962	comfort / delicacy / refinement / sensation	11	2,4,5,6,7	ر ب ب ع ب د ع و ن ق و م م ل ك ن ع م	ع و ن:B002@5:العَوان بين السنين | ن ع م:B002@7:اللين والنعومة ورفاه العيش	ر ب ب:B006@2:رُبّ خاثر وإصلاح به	P3788	P3788[ر ب ب:B006→ن ع م:B002 ; ع و ن:B002→ن ع م:B002] | P3079[ر ب ب:B002→ن ع م:B002 ; ع و ن:B002→ن ع م:B002] | P3363[ر ب ب:B016→ن ع م:B002 ; ع و ن:B002→ن ع م:B002] | P3606[ع و ن:B002→ن ع م:B002 ; ق و م:B009→ن ع م:B002]
171	PF0171	0.3961	virtue / reputation / veneration / epithet	6	1,2,3,4,5,6,7	ح م د د ي ن ر ح م ع ب د غ ض ب ق و م ن ع م ه د ي	ح م د:B003@2:المحمود كثير الخصال | ع ب د:B006@5:التكريم والتعظيم	د ي ن:B001@4:الطاعة والانقياد | ر ح م:B001@1,3:الرَّحْمَة والرقة | غ ض ب:B003@7:المراغمة والمخالفة | ق و م:B009@6:قوام وعماد ومعاش | ن ع م:B011@7:موافقة المكان وطيب المقام | ه د ي:B005@6:الهدي المهدى إلى الحرم	P4459	P4459[ح م د:B003→ع ب د:B006 ; ع ب د:B006→ق و م:B009] | P4730[ح م د:B003→ع ب د:B006 ; ع ب د:B006→غ ض ب:B003] | P5002[ح م د:B003→ع ب د:B006 ; ر ح م:B001→ع ب د:B006] | P5446[ح م د:B003→ع ب د:B006 ; د ي ن:B001→ع ب د:B006]
172	PF0172	0.3959	support / ostrich / overcast / handle	38	1,2,3,4,5,6,7	ء ل ه ر ب ب ر ح م س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ي ر ق و م م ل ك ن ع م ه د ي	ر ب ب:B008@2:رباب السحاب | ق و م:B012@6:آلة قائمة وجزء قائم | ن ع م:B007@7:ما سمي نعامة تشبيها بالهيئة	س م و:B004@1:السماء وما علا فأظل | ص ر ط:B003@6,7:السيف القاطع الماضي في الضربة | م ل ك:B008@4:المتقدم القائد في الحيوان | ه د ي:B003@6:المتقدم الهادي وأوائل الشيء	P5067	P5067[ر ب ب:B008→ن ع م:B007 ; ق و م:B011→ن ع م:B007] | P0981[س م و:B004→ر ب ب:B008 ; ر ب ب:B008→ن ع م:B007 ; ق و م:B012→ن ع م:B007 ; م ل ك:B008→ق و م:B012 ; م ل ك:B008→ه د ي:B003 ; ر ح م:B002→ر ب ب:B008 ; ع و ن:B006→ه د ي:B003] | P1478[س م و:B004→ر ب ب:B008 ; ر ب ب:B008→ن ع م:B007 ; ق و م:B012→ن ع م:B007 ; س م و:B004→ع ل م:B005 ; ع ل م:B005→م ل ك:B007 ; م ل ك:B007→ع ب د:B001] | P1623[ق و م:B012→ن ع م:B007 ; م ل ك:B008→ق و م:B012 ; م ل ك:B008→ه د ي:B003 ; ر ب ب:B009→ه د ي:B003 ; ر ح م:B003→ر ب ب:B009]
173	PF0173	0.3958	body_health_life/reproduction_birth / stray / uterus / owner	13	1,2,3,5,6,7	ر ب ب ر ح م ض ل ل ع ل م ع و ن ق و م ن ع م ه د ي	ر ح م:B003@1,3:رَحِم الأنثى | ض ل ل:B005@7:الضالّة في المضيعة	ر ب ب:B010@2:ربابة تجمع القداح | ن ع م:B005@7:مال الأنعام والإبل	P4004	P4004[ر ح م:B003→ض ل ل:B005 ; ر ب ب:B007→ض ل ل:B005] | P2789[ر ح م:B002→ر ب ب:B010 ; ر ب ب:B010→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005] | P2382[ر ح م:B003→ض ل ل:B005 ; ن ع م:B005→ض ل ل:B005 ; ر ح م:B003→ر ب ب:B005] | P3740[ر ح م:B003→ض ل ل:B005 ; ر ح م:B003→ق و م:B002]
174	PF0174	0.3953	city / authority / veneration / polity	9	1,2,3,4,5,6	ح م د د ي ن ر ب ب ر ح م ع ب د ق و م ه د ي	د ي ن:B006@4:مدينة الطاعة | ع ب د:B006@5:التكريم والتعظيم		P4342	P4342[د ي ن:B006→ع ب د:B006 ; ع ب د:B006→ق و م:B009] | P3832[ح م د:B001→ع ب د:B006 ; د ي ن:B006→ع ب د:B006] | P4742[د ي ن:B006→ق و م:B008 ; د ي ن:B006→ع ب د:B006] | P4754[د ي ن:B006→ق و م:B014 ; د ي ن:B006→ع ب د:B006]
175	PF0175	0.3951	gambling / hide / lot / shield	13	1,2,3,4,5,6,7	ر ب ب ر ح م ع ب د ع و ن غ ض ب ق و م م ل ك ن ع م	ر ب ب:B010@2:ربابة تجمع القداح | غ ض ب:B008@7:جلد صلب أو مطوي كدرقة	ر ح م:B003@1,3:رَحِم الأنثى | ع ب د:B007@5:القوة والصلابة | ع ب د:B008@5:الأنفة والغضب | ع ب د:B010@5:التفرق في الوجوه | م ل ك:B001@4:قوة الشيء وتماسكه	P3935	P3935[ر ب ب:B010→ع ب د:B010 ; ر ب ب:B010→غ ض ب:B008] | P2129[ر ب ب:B010→ع ب د:B007 ; ع ب د:B007→غ ض ب:B007 ; ر ح م:B002→ر ب ب:B010 ; م ل ك:B001→ع ب د:B007] | P2308[ق و م:B012→ن ع م:B007 ; ر ب ب:B010→ن ع م:B007 ; ر ب ب:B010→غ ض ب:B008 ; ع ب د:B008→غ ض ب:B008] | P2364[ر ب ب:B010→غ ض ب:B008 ; ر ح م:B003→ر ب ب:B010 ; ر ح م:B003→ق و م:B002 ; م ل ك:B008→ق و م:B002]
176	PF0176	0.3947	dominion / governance / hierarchy / kingship	10	1,2,3,4,5,6,7	ر ب ب ر ح م س م و ع و ن غ ي ر ق و م م ل ك ن ع م ه د ي	ر ب ب:B001@2:ربوبية وملك وسيادة | م ل ك:B003@4:المُلك والسلطان	ق و م:B004@6:رعاية وحفظ وولاية	P4278	P4278[ر ب ب:B001→م ل ك:B003 ; م ل ك:B003→ق و م:B006] | P2242[م ل ك:B003→ق و م:B004 ; ق و م:B004→ن ع م:B001 ; ر ح م:B001→ن ع م:B001 ; ر ب ب:B001→م ل ك:B003] | P2547[ر ب ب:B001→م ل ك:B003 ; م ل ك:B003→ق و م:B004 ; ق و م:B004→غ ي ر:B001] | P3345[س م و:B004→ر ب ب:B001 ; ر ب ب:B001→م ل ك:B003]
177	PF0177	0.3945	coarseness / herd / wildness / zoology	11	2,4,5,6,7	ح م د ر ب ب ع ب د ع و ن غ ض ب غ ي ر ق و م م ل ك ه د ي	ع و ن:B006@5:العانة قطيع الحمر | غ ض ب:B005@7:غلظ الجسم وشدة الحمرة	ر ب ب:B014@2:رَبْرَب قطيع | ق و م:B009@6:قوام وعماد ومعاش | م ل ك:B005@4:مِلاك الأمر وعِماده	P4479	P4479[ر ب ب:B011→ع و ن:B006 ; ع و ن:B006→غ ض ب:B005] | P2057[ع و ن:B006→غ ض ب:B005 ; ر ب ب:B014→ع و ن:B006 ; غ ي ر:B004→غ ض ب:B005 ; ق و م:B001→غ ي ر:B004] | P2520[م ل ك:B005→ق و م:B009 ; م ل ك:B005→غ ض ب:B005 ; ه د ي:B009→غ ض ب:B005] | P2841[ع و ن:B006→غ ض ب:B005 ; ر ب ب:B014→ع و ن:B006 ; ع ب د:B008→غ ض ب:B005]
178	PF0178	0.394	commitment / polarity / endeavor / initiative	6	1,2,5,6,7	ر ب ب س م و ع ب د ق و م ن ع م	ق و م:B003@6:عزم ونهوض إلى الأمر | ن ع م:B003@7:مدح الشيء بنعم	ر ب ب:B002@2:إصلاح وتربية وإتمام | س م و:B001@1:العلو والارتفاع | س م و:B002@1:الشخص المرتفع الظاهر | س م و:B007@1:المساماة والمباراة | ع ب د:B006@5:التكريم والتعظيم | ع ب د:B008@5:الأنفة والغضب	P4722	P4722[س م و:B007→ق و م:B003 ; ق و م:B003→ن ع م:B003] | P3702[ع ب د:B008→ن ع م:B003 ; ق و م:B003→ن ع م:B003] | P4170[ق و م:B003→ن ع م:B003 ; ع ب د:B006→ق و م:B003] | P4842[س م و:B001→ق و م:B003 ; ق و م:B003→ن ع م:B003]
179	PF0179	0.3937	opposition / competition / otherness / difference	6	1,2,6,7	ر ب ب س م و ع ل م غ ي ر ق و م ه د ي	س م و:B007@1:المساماة والمباراة | غ ي ر:B005@7:السوى والخلاف والاستثناء والنفي	ر ب ب:B004@2:ربة وجماعات كثيرة | ع ل م:B001@2:انكشاف الشيء للعارف | ق و م:B001@6:جماعة الناس والرجال | ق و م:B003@6:عزم ونهوض إلى الأمر | ق و م:B009@6:قوام وعماد ومعاش | ق و م:B014@6:مقاومة ومنازلة | ه د ي:B008@6:مشي التهادي مع الاعتماد والتمايل	P4975	P4975[س م و:B007→غ ي ر:B005 ; س م و:B007→ق و م:B003] | P2642[ر ب ب:B004→ق و م:B001 ; ق و م:B001→غ ي ر:B005 ; س م و:B007→غ ي ر:B005] | P5670[ع ل م:B001→غ ي ر:B005 ; ق و م:B009→غ ي ر:B005] | P3905[س م و:B007→غ ي ر:B005 ; س م و:B007→ق و م:B014]
180	PF0180	0.3935	comfort / treaty / pact / taxation	12	1,2,3,5,6,7	ر ب ب ر ح م ع ب د ع و ن غ ي ر ق و م ن ع م ه د ي	ر ب ب:B011@2:ربابة عهد وميثاق | ن ع م:B002@7:اللين والنعومة ورفاه العيش	ر ح م:B002@1,3:الرَّحِم والقرابة | غ ي ر:B001@7:الصلاح والمنفعة بالميرة والسقي والإصلاح | ن ع م:B004@7:الجواب بنعم والتصديق | ه د ي:B003@6:المتقدم الهادي وأوائل الشيء	P3836	P3836[ر ب ب:B011→ه د ي:B003 ; ر ب ب:B011→ن ع م:B002] | P5371[ر ب ب:B011→غ ي ر:B001 ; ر ح م:B002→ر ب ب:B011] | P3388[ر ب ب:B011→ع ب د:B001 ; ر ب ب:B011→ن ع م:B002] | P3563[ر ب ب:B011→ن ع م:B002 ; ق و م:B009→ن ع م:B002]
181	PF0181	0.3934	praise / reputation / intent / manner	6	1,2,6,7	ح م د س م و غ ض ب غ ي ر ن ع م ه د ي	س م و:B008@1:الصيت الحسن المنتشر | ه د ي:B002@6:جهة الأمر وسيرته وقصده	ح م د:B004@2:حماداك الغاية المحمودة | غ ض ب:B004@7:صلابة الصخرة وتماسكها | غ ي ر:B001@7:الصلاح والمنفعة بالميرة والسقي والإصلاح | غ ي ر:B002@7:الغَيْر في الدية | غ ي ر:B003@7:تغيير الصورة أو إبدال الشيء بغيره | ن ع م:B011@7:موافقة المكان وطيب المقام	P4871	P4871[س م و:B008→ه د ي:B002 ; ه د ي:B002→غ ي ر:B001] | P4706[س م و:B008→ه د ي:B002 ; ه د ي:B002→غ ي ر:B002] | P5122[س م و:B008→ه د ي:B002 ; ه د ي:B002→ن ع م:B011] | P5284[ه د ي:B002→غ ي ر:B003 ; س م و:B008→ه د ي:B002]
182	PF0182	0.3923	departure / chase / defeat / subsistence	13	1,2,5,6,7	ر ب ب س م و ع ب د ع و ن ق و م ن ع م ه د ي	س م و:B006@1:الخروج للصيد | ن ع م:B008@7:طيران النعامة وتفرق القوم		P2891	P2891[س م و:B006→ق و م:B012 ; س م و:B006→ن ع م:B008] | P1896[س م و:B006→ن ع م:B008 ; ق و م:B014→ن ع م:B008 ; ع و ن:B003→ق و م:B014 ; س م و:B006→ر ب ب:B004] | P2604[س م و:B006→ن ع م:B008 ; ع ب د:B010→ن ع م:B008 ; ع ب د:B010→ق و م:B021] | P3098[س م و:B006→ن ع م:B008 ; ق و م:B018→ن ع م:B008]
183	PF0183	0.3919	body_health_life/reproduction_birth / refugee / uterus / captive	9	1,2,3,6,7	ر ب ب ر ح م ض ل ل غ ض ب غ ي ر ق و م ن ع م ه د ي	ر ح م:B003@1,3:رَحِم الأنثى | ه د ي:B007@6:هدي الحرمة والأسير		P5177	P5177[ر ح م:B003→ه د ي:B007 ; ر ب ب:B011→ه د ي:B007] | P2983[ر ح م:B003→ر ب ب:B012 ; ر ح م:B003→ه د ي:B007 ; ه د ي:B007→غ ي ر:B002] | P3166[ر ح م:B003→ن ع م:B006 ; ر ح م:B003→ه د ي:B007] | P4563[ه د ي:B007→ض ل ل:B001 ; ر ح م:B003→ه د ي:B007]
184	PF0184	0.3918	posture / stance / standing / uprightness	8	1,2,3,4,5,6,7	ر ح م س م و ع ب د ع ل م ق و م م ل ك ن ع م	ق و م:B002@6:انتصاب وقيام بالبدن | ن ع م:B007@7:ما سمي نعامة تشبيها بالهيئة		P5112	P5112[ق و م:B002→ن ع م:B007 ; ع ب د:B004→ق و م:B002] | P3547[ق و م:B002→ن ع م:B007 ; م ل ك:B008→ق و م:B002] | P4245[ق و م:B002→ن ع م:B007 ; ر ح م:B003→ق و م:B002] | P5615[ق و م:B002→ن ع م:B007 ; ع ب د:B012→ق و م:B002]
185	PF0185	0.391	paving / smoothing / taming / leveling	8	2,5,6,7	ر ب ب ص ر ط ض ل ل ع ب د ع و ن غ ض ب ق و م ه د ي	ص ر ط:B001@6,7:الطريق المستقيم | ع ب د:B005@5:التذليل والتسوية		P3656	P3656[ع ب د:B005→ص ر ط:B001 ; ع ب د:B005→ه د ي:B009] | P4062[ع ب د:B005→ص ر ط:B001 ; ع ب د:B005→غ ض ب:B008] | P4314[ر ب ب:B011→ع ب د:B005 ; ع ب د:B005→ص ر ط:B001] | P4831[ع ب د:B005→ص ر ط:B001 ; ه د ي:B001→ص ر ط:B001]
186	PF0186	0.3906	goal / submission / utmost / devotion	103	1,2,4,5,6,7	ء ل ه ح م د د ي ن ر ب ب س م و ص ر ط ض ل ل ع ب د ع ل م ع و ن غ ض ب غ ي ر ق و م م ل ك ن ع م ه د ي	ح م د:B004@2:حماداك الغاية المحمودة	ح م د:B005@2:يتحمد بالمنة | د ي ن:B001@4:الطاعة والانقياد | ع ب د:B003@5:العبادة والطاعة الخاضعة | م ل ك:B005@4:مِلاك الأمر وعِماده | ن ع م:B010@7:زاد وأنعم في الفعل	P1899	P1899[ح م د:B004→ع ب د:B003 ; ح م د:B004→م ل ك:B005 ; د ي ن:B001→ع ب د:B003 ; د ي ن:B001→ق و م:B008] | P0278[ح م د:B004→ع ب د:B003 ; ح م د:B004→م ل ك:B005 ; م ل ك:B005→ق و م:B009 ; م ل ك:B005→غ ض ب:B003 ; س م و:B007→غ ض ب:B003 ; د ي ن:B001→ع ب د:B003 ; غ ض ب:B003→ض ل ل:B004 ; غ ي ر:B003→ض ل ل:B004 ; ص ر ط:B002→ض ل ل:B004] | P0403[ح م د:B004→م ل ك:B005 ; م ل ك:B005→غ ض ب:B003 ; س م و:B007→غ ض ب:B003 ; ح م د:B004→ع ب د:B003 ; د ي ن:B001→ع ب د:B003 ; ق و م:B014→غ ض ب:B003 ; ع و ن:B003→ق و م:B014 ; ق و م:B014→ن ع م:B008 ; ء ل ه:B001→ع ب د:B003] | P2116[ح م د:B005→م ل ك:B005 ; م ل ك:B005→ق و م:B003 ; ح م د:B005→ر ب ب:B016 ; ر ب ب:B016→ن ع م:B001]
187	PF0187	0.3894	stray / owner / wasteland / physique	9	1,2,3,4,5,6,7	د ي ن ر ب ب ر ح م س م و ض ل ل ع و ن ق و م ه د ي	ض ل ل:B005@7:الضالّة في المضيعة | ع و ن:B005@5:استواء الخلقة وتلاحق القوة		P4112	P4112[ع و ن:B005→ض ل ل:B005 ; ر ب ب:B007→ض ل ل:B005] | P3594[ع و ن:B005→ه د ي:B006 ; ع و ن:B005→ض ل ل:B005] | P3986[ر ح م:B004→ع و ن:B005 ; ع و ن:B005→ض ل ل:B005] | P4551[ر ب ب:B001→ض ل ل:B005 ; ع و ن:B005→ض ل ل:B005]
188	PF0188	0.3888	governance / address / invocation / law_governance/authority_governance	23	1,2,4,5,6,7	ء ل ه د ي ن ر ب ب س م و ض ل ل ع ب د ق و م م ل ك ن ع م ه د ي ي و م	ء ل ه:B002@1,2:اسم الله في القسم والنداء | ق و م:B004@6:رعاية وحفظ وولاية	ر ب ب:B016@2:رُبَى حاجة وعقدة ونعمة | ن ع م:B001@7:حسن الحال والنعمة | ه د ي:B002@6:جهة الأمر وسيرته وقصده | ه د ي:B011@6:إهداء الشعر ومهاداته	P4734	P4734[ق و م:B004→ن ع م:B001 ; ء ل ه:B002→ق و م:B004] | P1714[ي و م:B002→د ي ن:B005 ; د ي ن:B005→ق و م:B004 ; ء ل ه:B002→ق و م:B004 ; ء ل ه:B002→ر ب ب:B001 ; ه د ي:B002→ق و م:B004] | P5072[ر ب ب:B016→ه د ي:B011 ; ر ب ب:B016→ن ع م:B003] | P1862[م ل ك:B007→ق و م:B004 ; ه د ي:B002→ق و م:B004 ; ء ل ه:B002→ق و م:B004 ; ء ل ه:B002→ر ب ب:B001 ; س م و:B005→ء ل ه:B002]
189	PF0189	0.3884	stray / owner / wasteland / penetration	10	2,4,5,6,7	د ي ن ر ب ب ص ر ط ض ل ل ع ب د ع ل م ع و ن	ص ر ط:B003@6,7:السيف القاطع الماضي في الضربة | ض ل ل:B005@7:الضالّة في المضيعة		P4237	P4237[ص ر ط:B003→ض ل ل:B005 ; ر ب ب:B007→ض ل ل:B005] | P4346[ع ل م:B007→ض ل ل:B005 ; ص ر ط:B003→ض ل ل:B005] | P4676[ع و ن:B002→ض ل ل:B005 ; ص ر ط:B003→ض ل ل:B005] | P4700[ر ب ب:B001→ض ل ل:B005 ; ص ر ط:B003→ض ل ل:B005]
190	PF0190	0.3879	divergence / dispersion / scattering / distribution	23	1,2,5,6,7	ء ل ه ر ب ب س م و ص ر ط ع ب د ع و ن غ ض ب غ ي ر ق و م ن ع م ه د ي	ص ر ط:B001@6,7:الطريق المستقيم | ع ب د:B010@5:التفرق في الوجوه	ء ل ه:B001@1,2:التعبد والمعبود | غ ض ب:B007@7:العبوس والضجر والعظم في وصف الحيوان أو الشخص | غ ي ر:B003@7:تغيير الصورة أو إبدال الشيء بغيره	P2698	P2698[ع ب د:B010→ق و م:B021 ; ع ب د:B010→ص ر ط:B001] | P2940[ع ب د:B010→ق و م:B019 ; ع ب د:B010→ص ر ط:B001 ; ء ل ه:B001→ع ب د:B010] | P3319[ع ب د:B010→ه د ي:B009 ; ع ب د:B010→غ ض ب:B007] | P4931[ع ب د:B010→غ ي ر:B003 ; ع ب د:B010→ه د ي:B004]
191	PF0191	0.3875	posture / daytime / sunrise / stance	8	1,2,3,4,5,6	ر ح م س م و ع ب د ع ل م ق و م ي و م	ق و م:B002@6:انتصاب وقيام بالبدن | ي و م:B001@4:وقت النهار المحدود		P5186	P5186[ي و م:B001→ق و م:B002 ; ع ب د:B004→ق و م:B002] | P4284[ي و م:B001→ق و م:B002 ; ر ح م:B003→ق و م:B002] | P5673[ي و م:B001→ق و م:B002 ; ع ب د:B012→ق و م:B002] | P5749[ي و م:B001→ق و م:B002 ; ع ل م:B004→ق و م:B002]
192	PF0192	0.3874	ceiling / overhead / canopy / cosmology	17	1,2,3,5,6,7	ء ل ه ر ب ب ر ح م س م و ع ب د ع ل م ع و ن غ ي ر ق و م ن ع م	س م و:B004@1:السماء وما علا فأظل | ن ع م:B007@7:ما سمي نعامة تشبيها بالهيئة	ر ب ب:B006@2:رُبّ خاثر وإصلاح به | ر ب ب:B012@2:ربة نبات | ق و م:B012@6:آلة قائمة وجزء قائم	P5471	P5471[س م و:B004→ن ع م:B007 ; س م و:B004→ر ب ب:B006] | P1692[س م و:B004→ن ع م:B007 ; ق و م:B012→ن ع م:B007 ; س م و:B004→ر ب ب:B012 ; ر ح م:B002→ر ب ب:B012] | P2337[ر ب ب:B013→ع ل م:B005 ; س م و:B004→ع ل م:B005 ; س م و:B004→ن ع م:B007 ; ق و م:B012→ن ع م:B007] | P2420[س م و:B004→ن ع م:B007 ; ق و م:B012→ن ع م:B007 ; س م و:B004→ر ب ب:B007]
